,date,lon,lat,max temp,humidity,cloudiness,wind speed
count,530.0,530.0,530.0,530.0,530.0,530.0,530.0
mean,1590273216.1679246,20.99715094339624,19.323339622641498,64.44616981132071,70.59622641509434,52.0377358490566,8.402773584905653
std,64.96155697143539,92.30572046326179,34.22871691990131,15.066051932761766,20.694902820413798,37.99217025302725,6.005873058621564
min,1590272754.0,-175.2,-54.8,26.13,5.0,0.0,0.13
25%,1590273228.25,-59.0475,-10.8075,52.61750000000001,59.0,14.0,3.4925
50%,1590273235.0,24.345,22.255,65.125,77.0,59.5,6.93
75%,1590273241.0,106.51749999999998,49.4375,78.01,86.0,90.0,11.89
max,1590273248.0,179.32,78.22,91.4,100.0,100.0,34.72
