,city name,country,date,lon,lat,max temp,humidity,cloudiness,wind speed
85,Muhos,FI,1590273229,25.99,64.81,44.6,72,40,1.12
86,Ambulu,ID,1590273229,113.61,-8.35,77.04,86,2,2.66
87,Longyearbyen,SJ,1590273186,15.64,78.22,39.2,69,75,3.36
88,Hasaki,JP,1590273229,140.83,35.73,68.0,82,75,6.93
89,George,ZA,1590273229,22.46,-33.96,55.4,82,0,3.36
90,Khandyga,RU,1590273229,135.6,62.67,54.84,38,88,6.55
91,Chivay,PE,1590273229,-71.6,-15.64,49.73,46,22,7.9
92,Narsaq,GL,1590273229,-46.05,60.92,55.4,28,17,13.87
93,Fayaoué,NC,1590273229,166.53,-20.65,75.88,70,99,10.45
94,Geraldton,AU,1590273041,114.6,-28.77,75.2,17,100,31.09
95,Nizwá,OM,1590273229,57.53,22.93,77.2,79,8,5.23
96,Thompson,CA,1590273229,-97.86,55.74,73.4,33,75,8.05
97,Luganville,VU,1590273229,167.17,-15.53,78.8,78,75,5.01
98,Noumea,NC,1590273229,166.46,-22.28,75.2,64,29,3.36
99,Camacha,PT,1590273229,-16.33,33.08,69.8,60,40,12.75
100,Honningsvåg,NO,1590273229,25.97,70.98,43.95,83,22,23.22
101,Ilulissat,GL,1590273229,-51.1,69.22,37.4,74,66,5.82
102,Chapais,CA,1590273229,-74.85,49.78,59.0,22,1,5.82
103,Puerto Ayora,EC,1590273229,-90.35,-0.74,80.6,65,20,16.11
104,Esperance,AU,1590273229,121.9,-33.87,53.6,46,100,19.46
105,Tuktoyaktuk,CA,1590273229,-133.04,69.45,39.2,98,5,13.87
106,Sorong,ID,1590273229,131.25,-0.88,80.8,84,37,7.96
107,Skellefteå,SE,1590273229,20.95,64.75,46.0,75,100,6.93
108,Castro,BR,1590273229,-50.01,-24.79,48.85,77,20,10.92
109,Mahanoro,MG,1590273229,48.8,-19.9,71.26,86,60,4.47
110,Bereda,ES,1590273229,-7.54,43.27,54.0,92,100,11.99
111,Evensk,RU,1590273230,159.23,61.95,42.71,60,0,3.67
112,Torbay,CA,1590273230,-52.73,47.67,43.0,72,75,16.11
113,Concordia,AR,1590273230,-58.02,-31.39,54.0,87,75,9.17
114,Port Elizabeth,ZA,1590273230,25.57,-33.92,51.8,93,0,3.36
115,Port Alfred,ZA,1590273230,26.89,-33.59,57.99,86,0,3.0
116,Touros,BR,1590273230,-35.46,-5.2,77.0,94,75,8.05
117,Carnarvon,AU,1590273230,113.63,-24.87,70.7,48,100,34.72
118,Cap-Haïtien,HT,1590273230,-72.2,19.76,82.11,80,78,9.28
119,Kruisfontein,ZA,1590273230,24.73,-34.0,52.5,84,0,3.8
120,Khatanga,RU,1590273230,102.5,71.97,54.57,76,48,5.01
121,Cape Town,ZA,1590272989,18.42,-33.93,59.0,93,0,6.93
122,São Félix do Xingu,BR,1590273230,-51.99,-6.64,74.88,92,72,1.88
123,Imbituba,BR,1590273096,-48.67,-28.24,69.8,40,21,17.22
124,Biak,ID,1590273230,122.88,-0.91,79.5,77,58,1.92
125,Saint Paul Harbor,US,1590273230,-152.41,57.79,48.2,81,90,10.29
126,Santa Ana,US,1590273061,-117.87,33.75,75.99,49,75,10.29
127,Mar del Plata,AR,1590273230,-57.56,-38.0,55.0,87,100,6.04
128,Sittwe,MM,1590273230,92.9,20.15,82.89,77,80,1.61
129,Coração de Jesus,BR,1590273230,-44.37,-16.69,78.8,57,48,6.93
130,Yatou,CN,1590273230,122.38,37.15,59.92,85,4,7.31
131,Kamaishi,JP,1590273230,141.88,39.27,64.31,79,43,6.15
132,Caravelas,BR,1590273230,-39.25,-17.71,74.03,88,1,2.82
133,Arraial do Cabo,BR,1590273230,-42.03,-22.97,77.0,83,39,6.93
134,Azul,AR,1590273230,-59.86,-36.78,48.0,71,66,5.35
135,Altamira,BR,1590273231,-52.21,-3.2,80.6,94,20,5.82
136,Klaksvík,FO,1590273231,-6.59,62.23,46.4,93,100,20.8
137,Yarkovo,RU,1590273231,67.08,57.4,48.43,72,78,0.13
138,Inuvik,CA,1590273231,-133.72,68.35,55.4,58,5,11.41
139,Cherskiy,RU,1590273231,161.3,68.75,34.9,78,13,8.01
140,Kudeyevskiy,RU,1590273231,56.76,54.88,57.2,87,90,4.47
141,Nizhniy Baskunchak,RU,1590273231,46.83,48.22,47.86,84,1,10.74
142,Hong Kong,HK,1590273031,114.16,22.29,78.01,83,75,5.99
143,Kavieng,PG,1590273231,150.8,-2.57,84.33,72,99,3.13
144,Margate,GB,1590273231,1.39,51.38,55.99,57,43,11.99
145,Alofi,NU,1590273231,-169.92,-19.06,78.8,94,19,9.17
146,Simbahan,PH,1590273231,120.58,6.3,83.73,77,69,7.65
147,Ushtobe,KZ,1590273231,77.98,45.25,69.33,39,0,21.0
148,Salinópolis,BR,1590273126,-47.36,-0.61,79.92,82,100,8.95
149,Sarakhs,IR,1590273231,61.16,36.54,73.4,31,0,2.24
150,Panabá,MX,1590273231,-88.27,21.28,88.5,54,75,9.28
151,Hamilton,US,1590273231,-84.53,39.18,73.0,83,75,3.36
152,Berdigestyakh,RU,1590273185,126.7,62.1,51.64,54,60,6.58
153,Yulara,AU,1590273231,130.99,-25.24,35.6,59,0,3.36
154,Poso,ID,1590273232,120.75,-1.4,78.76,80,99,2.59
155,Thinadhoo,MV,1590273232,72.93,0.53,83.5,79,100,19.98
156,Kyra,RU,1590273232,111.98,49.58,51.64,59,100,5.57
157,Ketchikan,US,1590273232,-131.65,55.34,51.8,93,90,11.41
158,Bonnyville,CA,1590273232,-110.73,54.27,48.2,61,75,11.41
159,Pacifica,US,1590273232,-122.49,37.61,71.01,43,20,19.46
160,Paamiut,GL,1590273232,-49.67,61.99,41.4,72,35,18.3
161,Umluj,SA,1590273232,37.27,25.02,82.31,66,0,7.07
162,Kiryat Gat,IL,1590273122,34.76,31.61,69.01,77,24,12.55
163,Pontes e Lacerda,BR,1590273232,-59.34,-15.23,58.55,58,100,5.84
164,Kaitangata,NZ,1590273232,169.85,-46.28,48.0,83,100,3.0
165,Bilibino,RU,1590273232,166.44,68.05,31.77,89,28,4.41
166,Vidim,RU,1590273232,103.11,56.41,60.71,51,70,2.46
167,Guiratinga,BR,1590273232,-53.76,-16.35,63.0,83,100,6.82
168,Kungälv,SE,1590273232,11.98,57.87,48.99,94,34,1.99
169,Esim,GH,1590273232,-2.24,4.87,79.41,85,29,7.0
170,Chokurdakh,RU,1590273232,147.92,70.63,31.1,97,91,5.68
171,Ribeira Grande,PT,1590273232,-28.7,38.52,65.3,92,100,14.38
172,Coquimbo,CL,1590273232,-71.34,-29.95,57.2,76,0,2.8
173,High Level,CA,1590273232,-117.14,58.52,64.4,31,75,9.17
174,Belyy Yar,RU,1590273232,91.39,53.6,51.8,87,0,4.47
175,Carson City,US,1590273232,-119.77,39.16,69.8,10,1,8.05
176,Värnamo,SE,1590273232,14.04,57.19,48.0,83,0,6.82
177,Tayga,RU,1590273126,85.62,56.06,55.0,93,1,6.71
178,East London,ZA,1590273055,27.91,-33.02,64.18,81,0,4.36
179,Ponta do Sol,PT,1590273233,-17.1,32.67,75.2,44,20,21.92
180,Clovis,US,1590273003,-119.7,36.83,84.99,17,20,4.7
181,Jasper,US,1590273038,-94.35,37.2,84.99,58,1,12.75
182,Raudeberg,NO,1590273233,5.14,61.99,51.01,70,100,14.18
183,Nelson Bay,AU,1590273233,152.15,-32.72,59.0,67,90,14.99
184,Dingle,PH,1590273233,122.67,11.0,82.29,80,100,1.95
185,Maués,BR,1590273233,-57.72,-3.38,76.8,98,100,2.24
186,Dingli,MT,1590273233,14.38,35.86,66.0,88,0,3.36
187,Atambua,ID,1590273233,124.89,-9.11,74.37,85,88,5.14
188,Pisco,PE,1590273233,-76.22,-13.7,64.99,82,75,5.82
189,Loreto,MX,1590273117,-101.97,22.27,83.68,12,0,11.9
190,Koumac,NC,1590273233,164.28,-20.57,78.08,64,57,11.36
191,Böhönye,HU,1590273233,17.38,46.41,59.0,87,90,12.75
192,Faanui,PF,1590273233,-151.75,-16.48,80.67,79,7,18.52
193,Pahrump,US,1590273233,-115.98,36.21,79.0,8,1,5.99
194,Centralia,US,1590272941,-122.95,46.72,62.6,51,90,4.7
195,Marsala,IT,1590273233,12.44,37.8,73.0,82,0,4.7
196,Grindavik,IS,1590273233,-22.43,63.84,50.0,61,14,13.87
197,Kahului,US,1590273233,-156.47,20.89,89.6,46,40,23.04
198,Rawson,AR,1590273233,-65.1,-43.3,64.02,34,99,18.28
199,Liepāja,LV,1590273233,21.04,56.54,50.0,93,100,10.29
200,Korla,CN,1590273233,86.15,41.76,66.54,38,38,14.25
201,The Valley,AI,1590273233,-63.06,18.22,84.2,74,20,5.82
202,Ipixuna,BR,1590273234,-48.8,-1.76,78.8,88,75,3.36
203,Saldanha,ZA,1590273234,17.94,-33.01,51.8,87,0,2.24
204,Stillwater,US,1590273234,-97.06,36.12,87.8,45,1,13.87
205,Mīnāb,IR,1590273234,57.08,27.15,82.4,78,0,6.93
206,City of San Pedro,PH,1590273234,121.02,14.35,80.6,88,75,1.63
207,Tanacu,RO,1590273234,27.82,46.68,52.0,53,40,2.24
208,Mount Gambier,AU,1590273234,140.77,-37.83,48.2,93,90,8.05
209,Caconda,AO,1590273234,15.07,-13.73,55.83,59,0,3.42
210,Portland,US,1590272868,-122.68,45.52,64.0,48,90,3.38
211,Mount Isa,AU,1590273234,139.5,-20.73,44.6,100,0,15.48
212,Trenggalek,ID,1590273234,111.72,-8.05,75.47,78,0,1.1
